resource_id,source,title,url,resource_type,format,course_type,openings,color,author,author_title,level_min,level_max,level_tier,duration_min,price_eur,is_free,has_video,has_pgn,has_exercises,has_spaced_rep,rating_score,views_yt,pub_date,description,level_tier_original,level_tier_source,level_tier_new
mc__dreev_deep_caro_kann_repertoire_for_blac,modern_chess,Dreev Deep Caro-Kann - Repertoire for Black after 1.e4 c6 2.Nf3,https://www.modern-chess.com/course/dreev-deep-caro-kann-repertoire-for-black-after-1-e4-c6-2-nf3/58916/,course,video,opening,Caro-Kann Defense|1.e4,Black,"GMAlexey Dreev, GMPier Luigi Basso",GM,1200.0,3000.0,intermediate,154.0,,0,1,1.0,1.0,1.0,,,,"May 5, 2026Caro-Kann Defense1.e4",intermediate,fallback_lmin,intermediate
mc__dragon_for_black,modern_chess,Dragon for BlackPremiumDiscounted,https://www.modern-chess.com/course/dragon-for-black/18883/,course,video,opening,Sicilian Defense|1.e4,Black,GMSina Movahed,GM,2300.0,3000.0,expert,251.0,,0,1,1.0,1.0,1.0,,,,"For decades, the Dragon existed in uncertain territory—too dangerous to die, too sharp to be trusted. Bobby Fischer declared it lost. Yet there were always believers, grandmasters who saw something the verdict missed. Now, with modern chess engines rewriting opening theory, those believers are prove",expert,range_only,expert
mc__chebanenko_slav_for_black_part_1,modern_chess,Chebanenko Slav for Black - Part 1,https://www.modern-chess.com/course/chebanenko-slav-for-black-part-1/68850/,course,video,opening,Slav Defense|1.d4,Black,"GMPier Luigi Basso, GMVladimir Malakhov",GM,2300.0,3000.0,expert,169.0,,0,1,1.0,1.0,1.0,,,,"May 3, 2026Slav Defense1.d4",expert,range_only,expert
mc__inside_your_games_edition_4,modern_chess,Inside Your Games - Edition 4,https://www.modern-chess.com/course/inside-your-games-edition-4/28817/,course,video,general,,Both,GMIoannis Papaioannou,GM,1200.0,3000.0,intermediate,230.0,,0,1,1.0,1.0,0.0,,,,"The fourth installment of GM Ioannis Papaioannou's Inside Your Games series is now available — and it begins with an unusual editorial choice. The games analyzed in this course were not selected because they are beautiful, technically clean, or theoretically important. They were selected because the",intermediate,fallback_lmin,intermediate
mc__1_d4_nf6_2_nf3_g6_3_nbd2_deep_understand,modern_chess,1.d4 Nf6 2.Nf3 g6 3.Nbd2 - Deep Understanding,https://www.modern-chess.com/course/1-d4-nf6-2-nf3-g6-3-nbd2-deep-understanding/78784/,course,video,opening,King%27s Indian Defense|Gruenfeld Defense|Pirc Defense|Philidor Defense|1.e4,Both,GMIoannis Papaioannou,GM,1800.0,2300.0,advanced,630.0,,0,1,1.0,0.0,0.0,,,,"GM Ioannis Papaioannou presents a complete White repertoire after 1.d4 Nf6 2.Nf3, built around the flexible 3.Nbd2 system that bypasses the King's Indian and Grünfeld theoretical battlefronts in favor of strategically rich positions where understanding outweighs memorization. Across seven lessons th",advanced,range_only,advanced
mc__french_steinitz_with_rb8_repertoire_for_,modern_chess,French Steinitz with ...Rb8 - Repertoire for BlackPremiumDiscounted,https://www.modern-chess.com/course/french-steinitz-with-rb8-repertoire-for-black/38751/,course,video,opening,French Defense|1.e4,Black,"GMPier Luigi Basso, GMSzymon Gumularz",GM,1200.0,3000.0,intermediate,219.0,,0,1,1.0,1.0,1.0,,,,"May 1, 2026French Defense1.e4",intermediate,fallback_lmin,intermediate
mc__kings_indian_defense_repertoire_for_blac,modern_chess,King's Indian Defense: Repertoire for Black - Part 2,https://www.modern-chess.com/course/kings-indian-defense-repertoire-for-black-part-2/88718/,course,video,opening,King%27s Indian Defense,Black,"GMAndrea Stella, GMBaadur Jobava",GM,1200.0,3000.0,intermediate,214.0,,0,1,1.0,1.0,1.0,,,,"April 30, 2026King's Indian Defense",intermediate,fallback_lmin,intermediate
mc__french_defense_middlegame_understanding_,modern_chess,"French Defense - Middlegame Understanding: Open, Closed, and Gambit Structures",https://www.modern-chess.com/course/french-defense-middlegame-understanding-open-closed-and-gambit-structures/48685/,course,video,opening,,Both,GMDavorin Kuljasevic,GM,1200.0,3000.0,intermediate,222.0,,0,1,1.0,1.0,0.0,,,,"The second part of GM Davorin Kuljasevic's Understanding the French project is now available. The first course — Understanding the French Defense: Middlegame Structures and Strategy — covered Classical and Winawer structures, the two pawn-structure families that arise from the most theoretically den",intermediate,fallback_lmin,intermediate
mc__1_nf3_nf6_2_g3_g6_3_c4_a_flexible_repert,modern_chess,1.Nf3 Nf6 2.g3 g6 3.c4: A Flexible Repertoire for White,https://www.modern-chess.com/course/1-nf3-nf6-2-g3-g6-3-c4-a-flexible-repertoire-for-white/98652/,course,video,opening,Reti Opening|1.Nf3,White,GMSina Movahed,GM,1200.0,3000.0,intermediate,148.0,,0,1,1.0,1.0,1.0,,,,"This flexible system, anchored by the move order 1.Nf3 Nf6 2.g3 g6 3.c4, transforms what is often seen as a vague “less concrete” approach into a practical weapon offering positional safety, easy learning, and rich middlegame play without the heavy memorization of mainline theory. GM Sina Movahed’s ",intermediate,fallback_lmin,intermediate
mc__sveshnikov_sicilian_for_white_top_level_,modern_chess,Sveshnikov Sicilian for White - Top-Level Repertoire,https://www.modern-chess.com/course/sveshnikov-sicilian-for-white-top-level-repertoire/58619/,course,video,opening,Sicilian Defense|1.e4,White,"IMDragos Ceres, GMJose Martinez Alcantara",GM,1200.0,3000.0,intermediate,300.0,,0,1,1.0,1.0,1.0,,,,"April 28, 2026Sicilian Defense1.e4",intermediate,fallback_lmin,intermediate
mc__beating_the_pirc_a_complete_repertoire_f,modern_chess,Beating the Pirc - A Complete Repertoire for White,https://www.modern-chess.com/course/beating-the-pirc-a-complete-repertoire-for-white/18586/,course,video,opening,Pirc Defense|1.e4,White,"GMMichael Roiz, GMPetar G. Arnaudov",GM,1200.0,3000.0,intermediate,75.0,,0,1,1.0,1.0,1.0,,,,"April 27, 2026Pirc Defense1.e4",intermediate,fallback_lmin,intermediate
mc__carlsbad_structure_for_white_part_2,modern_chess,Carlsbad Structure for White - Part 2,https://www.modern-chess.com/course/carlsbad-structure-for-white-part-2/68553/,course,video,opening,Queen%27s Gambit Declined|1.d4,White,"GMLuca Moroni, GMPier Luigi Basso",GM,1200.0,3000.0,intermediate,180.0,,0,1,1.0,1.0,1.0,,,,"April 26, 2026Queen's Gambit Declined1.d4",intermediate,fallback_lmin,intermediate
mc__play_the_sicilian_kalashnikov,modern_chess,Play the Sicilian Kalashnikov,https://www.modern-chess.com/course/play-the-sicilian-kalashnikov/28520/,course,video,opening,Sicilian Defense|1.e4,Both,"IMNikola Nikolovski, GMVladimir Georgiev",GM,1200.0,3000.0,intermediate,331.0,,0,1,1.0,1.0,1.0,,,,"April 25, 2026Sicilian Defense1.e4",intermediate,fallback_lmin,intermediate
